"","newcode","venue","period","score.diff.cat","strength.cat","season","Date","gcode","combocode","p1","p2","p3","p4","p5","ID.1","ID.2","ID.3","ID.4","ID.5","POS.1","POS.2","POS.3","POS.4","POS.5","NAME.1","NAME.2","NAME.3","NAME.4","NAME.5","TOI","p1G","p1A","p1A2","p1A3","p1A4","p1A5","p2G","p2A","p2A1","p2A3","p2A4","p2A5","p3G","p3A","p3A1","p3A2","p3A4","p3A5","p4G","p4A","p4A1","p4A2","p4A3","p4A5","p5G","p5A","p5A1","p5A2","p5A3","p5A4","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","HSCF","HSCA","OZS","NZS","DZS","team","TCF","TCA","TFF","TFA","TGF","TGA","TSCF","TSCA","THSCF","THSCA"
"985","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.6673457147376e+34,"erikslo85","trotmza90",NA,NA,NA,1344,5065,20000,20000,20000,"RL","D",NA,NA,NA,"LOUI ERIKSSON","ZACH TROTMAN",NA,NA,NA,0.525,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"986","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.45118328136277e+27,"bergepa85","marchbr88","erikslo85","charazd77","trotmza90",332,3073,1344,782,5065,"C","L","RL","D","D","PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","ZDENO CHARA","ZACH TROTMAN",0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"987","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.2313218901184e+34,"bergepa85","krugxto91",NA,NA,NA,332,2594,20000,20000,20000,"C","D",NA,NA,NA,"PATRICE BERGERON","TOREY KRUG",NA,NA,NA,0.4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"988","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.77623834141561e+29,"bergepa85","marchbr88","erikslo85","trotmza90",NA,332,3073,1344,5065,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","ZACH TROTMAN",NA,0.525,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"989","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.45118328216737e+27,"bergepa85","marchbr88","erikslo85","charazd77",NA,332,3073,1344,782,20000,"C","L","RL","D",NA,"PATRICE BERGERON","BRAD MARCHAND","LOUI ERIKSSON","ZDENO CHARA",NA,0.525,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"990","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.17891942106945e+34,"erikslo85","charazd77",NA,NA,NA,1344,782,20000,20000,20000,"RL","D",NA,NA,NA,"LOUI ERIKSSON","ZDENO CHARA",NA,NA,NA,0.525,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"991","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",6.10100173212374e+34,"soderca85","pastrda96",NA,NA,NA,4679,3783,20000,20000,20000,"C","RL",NA,NA,NA,"CARL SODERBERG","DAVID PASTRNAK",NA,NA,NA,0.425,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"992","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",1.15410024123683e+33,"smithre91","bartkma88","mcquaad86",NA,NA,4652,241,3250,20000,20000,"RL","D","D",NA,NA,"REILLY SMITH","MATT BARTKOWSKI","ADAM MCQUAID",NA,NA,0.866666666666667,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"993","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.21043358521369e+34,"kellych80","bartkma88",NA,NA,NA,2396,241,20000,20000,20000,"LC","D",NA,NA,NA,"CHRIS KELLY","MATT BARTKOWSKI",NA,NA,NA,0.866666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"994","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.83241371185389e+34,"soderca85","krugxto91",NA,NA,NA,4679,2594,20000,20000,20000,"C","D",NA,NA,NA,"CARL SODERBERG","TOREY KRUG",NA,NA,NA,0.4,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,"BOS",3,3,2,3,0,0,2,0,1,0
"995","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",6.4489601547752e+34,"soderca85","trotmza90",NA,NA,NA,4679,5065,20000,20000,20000,"C","D",NA,NA,NA,"CARL SODERBERG","ZACH TROTMAN",NA,NA,NA,0.425,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"BOS",3,3,2,3,0,0,2,0,1,0
"996","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.44303888195562e+34,"spoonry92","bartkma88",NA,NA,NA,4718,241,20000,20000,20000,"CL","D",NA,NA,NA,"RYAN SPOONER","MATT BARTKOWSKI",NA,NA,NA,0.866666666666667,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,2,0,1,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
"997","20142015.21201","away",2,6,"5v5","20142015","2015-04-08","21201",5.27089401411321e+34,"bergepa85","marchbr88",NA,NA,NA,332,3073,20000,20000,20000,"C","L",NA,NA,NA,"PATRICE BERGERON","BRAD MARCHAND",NA,NA,NA,0.525,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"BOS",3,3,2,3,0,0,2,0,1,0
